City,Policy Type,Exists? (Y/N)
Mountain View,Just Cause Eviction,Y
Mountain View,Rent Stabilization or Rent Control,Y
Mountain View,Rent Review Board,Y
Mountain View,Mobile Home Rent Control,Y
Mountain View,SRO Preservation,N
Mountain View,Condo Conversion Restrictions,Y
Mountain View,Foreclosure Assistance,Y
Mountain View,Affordable-Housing Linkage Fees,Y
Mountain View,Commercial Linkage Fees,Y
Mountain View,Inclusionary Zoning,Y
Mountain View,Density Bonus,Y
Mountain View,Community Land Trusts,Y
Mountain View,First Source Hiring Program,N
Mountain View,ADUs,Y
Mountain View,Housing Overlay Zones,N
Mountain View,Unsubsidized Affordable Housing Preservation (NOAH),Y
Mountain View,Subsidized Housing Preservation,N
Mountain View,Housing Rehabilitation Programs,Y
Mountain View,Tenant Opportunity to Purchase,N
Mountain View,Rental Assistance Programs,Y
Mountain View,Tenant Right to Counsel,
Mountain View,Short Term Rental Ban/Limitation,Y
Mountain View,Pass Through Limitation,Y